dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TB2:S15861Taxa1_processed,EVO2,808,872,0.926605504587156,2.534388780593872,2.672830104827881
TB2:S12211_processed,EVO2,170,180,0.9444444444444444,7.118818998336792,7.128007650375366
TB2:S2172Taxa3_processed,EVO2,34,42,0.8095238095238095,0.8700368404388428,0.871976375579834
TB2:S11289Taxa1_processed,EVO2,35,35,1.0,1.5896010398864746,1.5911738872528076
TB2:S11786Taxa1_processed,EVO2,78,98,0.7959183673469388,0.6670854091644287,0.6713271141052246
TB2:S1616Taxa1_processed,EVO2,41,49,0.8367346938775511,1.30242919921875,1.3047919273376465
TB2:S1472Taxa3_processed,EVO2,26,30,0.8666666666666667,1.398022174835205,1.399240255355835
TB2:S10701Taxa12_processed,EVO2,15,29,0.5172413793103449,1.4940826892852783,1.4953429698944092
TB2:S294Taxa1_processed,EVO2,17,25,0.68,0.524388313293457,0.525505542755127
TB2:S943Taxa2_processed,EVO2,30,34,0.8823529411764706,0.24437427520751953,0.24602174758911133
TB2:S12165Taxa6_processed,EVO2,54,64,0.84375,0.4944314956665039,0.4968292713165283
TB2:S13424Taxa1_processed,EVO2,69,75,0.92,1.9094550609588623,1.9129235744476318
TB2:S1854Taxa3_processed,EVO2,180,180,1.0,1.7833070755004883,1.792480230331421
TB2:S11476Taxa5_processed,EVO2,28,46,0.6086956521739131,2.149587631225586,2.1513900756835938
TB2:S11031_processed,EVO2,185,197,0.9390862944162437,7.013532876968384,7.024224758148193
TB2:S2087Taxa2_processed,EVO2,91,95,0.9578947368421052,2.2915573120117188,2.29559588432312
TB2:S15931Taxa8_processed,EVO2,78,98,0.7959183673469388,0.3634490966796875,0.36735010147094727
TB2:S15962Taxa1_processed,EVO2,24,26,0.9230769230769231,1.4109752178192139,1.4119932651519775
TB2:S1764_processed,EVO2,6,8,0.75,1.4268839359283447,1.4272918701171875
TB2:S2106Taxa2_processed,EVO2,305,341,0.8944281524926686,6.508202314376831,6.5367021560668945
TB2:S10027_processed,EVO2,43,47,0.9148936170212766,0.27478981018066406,0.27667737007141113
TB2:S14246Taxa3_processed,EVO2,26,32,0.8125,0.4851875305175781,0.4864614009857178
TB2:S1508Taxa4_processed,EVO2,18,24,0.75,1.3082020282745361,1.3094358444213867
TB2:S1066Taxa4_processed,EVO2,64,64,1.0,0.8376505374908447,0.8400416374206543
TB2:S15435Taxa1_processed,EVO2,32,50,0.64,1.4927878379821777,1.4945707321166992
TB2:S10266Taxa1_processed,EVO2,64,66,0.9696969696969697,2.6689820289611816,2.671332597732544
TB2:S1173_processed,EVO2,88,90,0.9777777777777777,0.398883581161499,0.4024200439453125
TB2:S12598Taxa1_processed,EVO2,171,179,0.9553072625698324,3.054450035095215,3.065164804458618
TB2:S1472Taxa4_processed,EVO2,26,30,0.8666666666666667,1.1235451698303223,1.1246962547302246
TB2:S11555Taxa2_processed,EVO2,14,20,0.7,3.1902337074279785,3.191234827041626
TB2:S10020Taxa3_processed,EVO2,46,70,0.6571428571428571,1.2564401626586914,1.2599921226501465
TB2:S11269Taxa1_processed,EVO2,16,28,0.5714285714285714,0.7758524417877197,0.7773735523223877
TB2:S1472Taxa2_processed,EVO2,59,93,0.6344086021505376,0.5079548358917236,0.512507438659668
TB2:S10453_processed,EVO2,42,44,0.9545454545454546,0.7916922569274902,0.7932820320129395
TB2:S13158Taxa5_processed,EVO2,143,151,0.9470198675496688,0.858755350112915,0.8668308258056641
TB2:S11376_processed,EVO2,110,142,0.7746478873239436,4.613114595413208,4.620353937149048
TB2:S2058Taxa2_processed,EVO2,26,28,0.9285714285714286,0.3663613796234131,0.36791062355041504
